Year,Category,Film,FilmId,Winner,Nominees,Song
1937,Best Production Design,Every Day's a Holiday,tt0028843,,Wiard Ihnen,
1937,Best Production Design,The Life of Emile Zola,tt0029146,,Anton Grot,
1937,Best Production Design,Lost Horizon,tt0029162,TRUE,Stephen Goosson,
1937,Best Production Design,Manhattan Merry-Go-Round,tt0029209,,John Victor Mackay,
1937,Best Production Design,The Prisoner of Zenda,tt0029442,,Lyle Wheeler,
1937,Best Production Design,Souls at Sea,tt0029593,,"Hans Dreier, Roland Anderson",
1937,Best Production Design,Walter Wanger's Vogues of 1938,tt0029737,,Alexander Toluboff,
1937,Best Production Design,Wee Willie Winkie,tt0029751,,"William S. Darling, David Hall",
1937,Best Production Design,You're a Sweetheart,tt0029809,,Jack Otterson,
1937,Best Short Film,Educated Fish,tt0028819,,Paramount,
1937,Best Short Film,The Little Match Girl,tt0029151,,"Charles Mintz, Producer",
1937,Best Short Film,The Old Mill,tt0029339,TRUE,"Walt Disney, Producer",
1937,Best Short Film,The Man without a Country,tt0029204,,Warner Bros.,
1937,Best Short Film,Penny Wisdom,tt0029385,TRUE,"Pete Smith, Producer",
1937,Best Short Film,Popular Science J-7-1,tt0029416,,Paramount,
1937,Best Short Film,A Night at the Movies,tt0029311,,Metro-Goldwyn-Mayer,
1937,Best Short Film,The Private Life of the Gannets,tt0029443,TRUE,Skibo Productions,
1937,Best Short Film,Romance of Radium,tt0029497,,"Pete Smith, Producer",
1937,Best Short Film,Deep South,tt0028777,,RKO Radio,
1937,Best Short Film,Should Wives Work?,tt0029555,,RKO Radio,
1937,Best Short Film,Torture Money,tt0029684,TRUE,Metro-Goldwyn-Mayer,
1937,Best Sound,The Girl Said No,tt0028931,,"Grand National Studio Sound Department, A. E. Kaye, Sound Director",
1937,Best Sound,Hitting a New High,tt0029006,,"RKO Radio Studio Sound Department, John Aalberg, Sound Director",
1937,Best Sound,The Hurricane,tt0029030,TRUE,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",
1937,Best Sound,In Old Chicago,tt0029047,,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",
1937,Best Sound,The Life of Emile Zola,tt0029146,,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",
1937,Best Sound,Lost Horizon,tt0029162,,"Columbia Studio Sound Department, John Livadary, Sound Director",
1937,Best Sound,Maytime,tt0029222,,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",
1937,Best Sound,One Hundred Men and a Girl,tt0029347,,"Universal Studio Sound Department, Homer G. Tasker, Sound Director",
1937,Best Sound,Topper,tt0029682,,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director",
1937,Best Sound,Wells Fargo,tt0029752,,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director",
1937,Best Supporting Actor,The Awful Truth,tt0028597,,Ralph Bellamy,Daniel Leeson
1937,Best Supporting Actor,The Hurricane,tt0029030,,Thomas Mitchell,Doctor Kersaint
1937,Best Supporting Actor,The Life of Emile Zola,tt0029146,TRUE,Joseph Schildkraut,Captain Alfred Dreyfus
1937,Best Supporting Actor,Lost Horizon,tt0029162,,H. B. Warner,Chang
1937,Best Supporting Actor,Topper,tt0029682,,Roland Young,Cosmo Topper
1937,Best Supporting Actress,In Old Chicago,tt0029047,TRUE,Alice Brady,Molly O'Leary
1937,Best Supporting Actress,Stage Door,tt0029604,,Andrea Leeds,Kaye Hamilton
1937,Best Supporting Actress,Stella Dallas,tt0029608,,Anne Shirley,Laurel Dallas
1937,Best Supporting Actress,Dead End,tt0028773,,Claire Trevor,Francie
1937,Best Supporting Actress,Night Must Fall,tt0029310,,Dame May Whitty,Mrs. Bramson
1938,Best Adapted Screenplay,Boys Town,tt0029942,,"John Meehan, Dore Schary",
1938,Best Adapted Screenplay,The Citadel,tt0029995,,"Ian Dalrymple, Frank Wead, Elizabeth Hill",
1938,Best Adapted Screenplay,Four Daughters,tt0030149,,"Julius J. Epstein, Lenore Coffee",
1938,Best Adapted Screenplay,Pygmalion,tt0030637,TRUE,"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",
1938,Best Adapted Screenplay,You Can't Take It with You,tt0030993,,Robert Riskin,
1938,Best Cinematography,Algiers,tt0029855,,James Wong Howe,
1938,Best Cinematography,Army Girl,tt0029880,,"Ernest Miller, Harry Wild",
1938,Best Cinematography,The Buccaneer,tt0029950,,Victor Milner,
1938,Best Cinematography,The Great Waltz,tt0030202,TRUE,Joseph Ruttenberg,
